Región,Tasa Migración (%),Tasa Recepción (%),DISTANCIA_PROMEDIO_MIGRACIÓN,DISTANCIA_PROMEDIO_RECEPCIÓN
Antofagasta,35.81011351909184,9.373482272948033,1051.5721110476145,699.709232907444
Arica y Parinacota,21.73913043478261,14.049586776859504,1514.5015322786076,532.5845227304977
Atacama,46.50537634408602,9.236031927023944,478.9846713280128,526.7677374779709
Aysén,74.52107279693486,7.638888888888889,969.9234199230722,1121.7852834473472
Biobío,9.89238947231946,25.67639824617688,370.9465055703415,250.3329597996732
Coquimbo,33.76288659793815,19.379574764726385,415.32905562522114,506.71180608678617
La Araucanía,17.324106113033448,20.19594745045647,440.6572229901262,428.2442237058754
Lib. Gral B. O'Higgins,81.8822203437588,6.2682215743440235,134.7659636219886,286.29956168586506
Los Lagos,48.08401930173148,17.945266935845673,506.53689493313556,539.3663808411515
Los Ríos,31.95046439628483,52.506482281763176,284.7759914075606,471.138906407588
Magallanes,42.83870967741936,14.313346228239846,1967.7803030004304,1955.4183911305897
Maule,28.16414686825054,21.222169587873047,271.64250999488763,231.6698452085394
Metropolitana,4.063586686537506,17.741935483870968,543.3616148884661,474.98944281583823
Tarapacá,43.32865168539326,11.221122112211221,1179.6044570721822,696.4251671339559
Valparaíso,15.235855220175095,27.737551520552522,204.3119957937955,600.3691490956611
Ñuble,52.44785014899958,21.11581920903955,308.01023717404394,508.67413072340173
