Región,Tasa Migración (%),Tasa Recepción (%)
Arica y Parinacota,21.73913043478261,14.049586776859504
Tarapacá,43.32865168539326,11.221122112211221
Antofagasta,35.81011351909184,9.373482272948033
Atacama,46.50537634408602,9.236031927023944
Coquimbo,33.76288659793815,19.379574764726385
Valparaíso,15.235855220175095,27.737551520552522
Metropolitana,4.063586686537506,17.741935483870968
Lib. Gral B. O'Higgins,81.8822203437588,6.2682215743440235
Maule,28.16414686825054,21.222169587873047
Ñuble,52.44785014899958,21.11581920903955
Biobío,9.89238947231946,25.67639824617688
La Araucanía,17.324106113033448,20.19594745045647
Los Ríos,31.95046439628483,52.506482281763176
Los Lagos,48.08401930173148,17.945266935845673
Aysén,74.52107279693486,7.638888888888889
Magallanes,42.83870967741936,14.313346228239846
