ID_RBD,N EVALUADO,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM_Establecimiento,valor_corte
1,403,118,30,41,214,23.7985423118798,20.03805
4,991,899,30,23,39,11.5838970934946,20.03805
5,542,473,27,13,29,12.9877768316529,20.03805
7,1135,398,115,112,510,22.6902887646696,20.03805
8,281,124,17,15,125,21.7532137387387,20.03805
15,129,80,9,8,32,17.676907909554,20.03805
25,158,60,15,18,65,21.2336010227914,20.03805
32,128,66,9,4,49,22.0971202476374,20.03805
45,291,234,15,11,31,12.1728076870832,20.03805
50,221,182,13,5,21,12.6298413537529,20.03805
52,1700,1288,112,73,227,14.9908296734764,20.03805
56,314,268,18,13,15,12.6869895252039,20.03805
60,338,250,22,17,49,15.0024625442729,20.03805
67,156,140,7,6,3,11.1357741465516,20.03805
72,24,3,0,2,19,33.6111138938275,20.03805
78,66,14,1,5,46,29.3548820490957,20.03805
97,357,84,17,27,229,29.570918726863,20.03805
103,166,44,8,14,100,23.8953236510098,20.03805
106,468,164,42,41,221,26.7053277541973,20.03805
107,407,137,18,19,233,26.7948286053623,20.03805
108,482,180,44,47,211,23.995016745822404,20.03805
109,404,59,32,34,279,29.5428276667019,20.03805
110,268,123,19,16,110,21.6237329658721,20.03805
124,1163,436,95,106,526,22.8595482133861,20.03805
125,274,93,19,13,149,25.2566494052143,20.03805
127,307,283,8,3,13,11.4224322318167,20.03805
129,86,21,6,11,48,27.2045558090584,20.03805
130,113,90,7,5,11,13.1324940189645,20.03805
131,126,102,7,3,14,14.6439965223193,20.03805
132,732,729,1,0,2,7.33983943420335,20.03805
133,176,110,19,11,36,16.7598607607529,20.03805
134,106,70,8,4,24,17.3429371458185,20.03805
144,137,88,12,17,20,16.7120619389326,20.03805
161,89,51,9,3,26,19.1433381738466,20.03805
178,51,35,2,0,14,19.3296073361861,20.03805
191,726,583,15,12,116,14.2009137317801,20.03805
199,487,246,32,33,176,19.7401856419817,20.03805
200,565,283,32,37,213,21.3570003564299,20.03805
208,437,394,14,11,18,12.81955661252,20.03805
211,268,160,16,17,75,17.0997235116932,20.03805
217,1141,671,100,82,288,18.733853982129776,20.03805
218,474,106,37,53,278,26.9940522688795,20.03805
219,836,113,75,86,562,29.633609781108596,20.03805
220,1118,472,97,88,461,21.6198522544134,20.03805
253,255,177,23,21,34,15.1646935529202,20.03805
254,225,198,6,1,20,12.3009739858138,20.03805
255,293,137,22,26,108,21.7888989116852,20.03805
256,482,366,37,26,53,14.1726400539499,20.03805
268,2,1,0,0,1,21.23554898588,20.03805
270,77,26,8,10,33,21.9533159195036,20.03805
279,1795,846,166,171,612,20.9042812201353,20.03805
280,1421,570,66,74,711,24.418757493825,20.03805
283,1026,639,53,53,281,18.740491557238,20.03805
284,495,49,18,20,408,36.5403544219005,20.03805
285,527,160,25,25,317,27.951143216739887,20.03805
286,737,407,41,31,258,22.137034266795,20.03805
287,999,555,116,73,255,18.9021381165979,20.03805
304,504,358,35,28,83,15.0358046251314,20.03805
320,242,128,15,21,78,20.5128183845683,20.03805
329,153,87,13,11,42,18.9741600703211,20.03805
335,152,40,13,17,82,26.6402463609114,20.03805
336,478,299,33,34,112,17.0557889774063,20.03805
337,273,244,7,9,13,12.0078223231973,20.03805
341,307,245,17,14,31,13.0377358096251,20.03805
342,554,437,35,28,54,14.7480961046481,20.03805
344,269,209,19,13,28,14.402361283065,20.03805
350,257,152,34,13,58,17.6234422735393,20.03805
356,312,229,29,21,33,14.3252221013641,20.03805
365,250,178,31,19,22,15.6548774339807,20.03805
367,779,347,43,37,352,23.3511984358995,20.03805
371,35,10,1,0,24,26.2920429617032,20.03805
372,332,253,23,15,41,15.5886524090388,20.03805
373,396,365,12,2,17,11.2250690190301,20.03805
379,687,316,65,39,267,19.2943459128449,20.03805
384,507,268,43,38,158,18.2246421371081,20.03805
392,410,343,19,10,38,13.9552898768922,20.03805
396,662,223,55,42,342,23.225928694214996,20.03805
399,913,343,85,88,397,23.060918718441545,20.03805
400,692,542,57,28,65,14.6650675651042,20.03805
415,333,244,27,34,28,15.7264557610199,20.03805
420,313,37,18,22,236,29.1044309608374,20.03805
429,589,414,40,49,86,15.0662553294625,20.03805
430,296,201,19,27,49,15.7763968773182,20.03805
431,257,202,13,10,32,13.3952108434904,20.03805
433,326,160,33,28,105,19.097155567465517,20.03805
437,1225,892,64,63,206,15.557441623066165,20.03805
438,407,167,43,51,146,21.3473116362735,20.03805
440,390,194,36,27,133,20.2518548260666,20.03805
441,52,11,1,1,39,26.714378431564757,20.03805
448,782,469,83,65,165,17.3725522251191,20.03805
449,638,265,59,74,240,20.4102542989173,20.03805
478,339,303,19,5,12,12.0250287389124,20.03805
479,527,455,32,21,19,12.4888921871967,20.03805
486,414,242,32,34,106,17.6093136188855,20.03805
516,443,207,41,34,161,20.644186767496,20.03805
517,736,541,44,48,103,15.9246863681625,20.03805
518,391,116,38,34,203,21.6998620392242,20.03805
521,78,46,7,6,19,20.8614156964835,20.03805
526,160,137,6,9,8,13.1933834286878,20.03805
530,374,191,26,28,129,19.2227321466376,20.03805
