mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL
3703667,5654.0,9,La Araucanía,496,497,"674,5"
23290465,1.0,15,Arica y Parinacota,504,504,404
1963581,8603.0,13,Metropolitana,400,413,0
19325828,10727.0,13,Metropolitana,722,850,0
14017550,14389.0,5,Valparaíso,653,823,353
6970283,31048.0,13,Metropolitana,679,759,0
23963123,1881.0,5,Valparaíso,559,568,"389,5"
23533893,,0, ,285,285,0
7053698,17754.0,16,Ñuble,807,850,"404,5"
12973222,14609.0,5,Valparaíso,582,736,370
15089236,13592.0,4,Coquimbo,658,738,0
14080890,,0, ,460,462,"569,5"
17971983,12696.0,15,Arica y Parinacota,597,632,0
5639098,9121.0,13,Metropolitana,785,850,435
2323572,4965.0,8,Biobío,732,780,"360,5"
6273999,4740.0,8,Biobío,679,733,"311,5"
9224864,3640.0,16,Ñuble,550,553,"548,5"
12047764,,0, ,726,782,647
20371992,14609.0,5,Valparaíso,405,405,"224,5"
14954459,,0, ,313,315,0
16408123,,0, ,398,402,0
1165940,10449.0,13,Metropolitana,0,0,0
20336396,8873.0,13,Metropolitana,699,701,0
6919957,,0, ,387,391,482
3629773,5444.0,9,La Araucanía,626,850,"289,5"
2193894,,0, ,656,651,0
2392086,8497.0,13,Metropolitana,584,641,"324,5"
3678135,12696.0,15,Arica y Parinacota,775,850,0
13671422,,0, ,380,384,0
19315832,8505.0,13,Metropolitana,589,595,"342,5"
6108242,,0, ,0,0,0
10646226,7325.0,10,Los Lagos,391,391,"454,5"
19046331,10746.0,13,Metropolitana,541,557,305
14864722,,0, ,775,850,"578,5"
19458885,,0, ,0,0,0
24725581,218.0,2,Antofagasta,803,850,"517,5"
2424387,,0, ,322,323,"618,5"
20684852,,0, ,0,0,631
23855103,,0, ,444,448,554
4890166,5570.0,9,La Araucanía,760,850,0
9752871,,0, ,449,460,"517,5"
8352602,10259.0,13,Metropolitana,559,574,432
15758970,,0, ,307,314,0
24104853,2961.0,7,Maule,444,444,"247,5"
24607255,,0, ,743,850,679
16743955,7720.0,10,Los Lagos,562,631,"257,5"
10802785,,0, ,0,0,580
10625892,284.0,2,Antofagasta,0,0,0
4981579,,0, ,0,0,"482,5"
19964150,9237.0,13,Metropolitana,631,631,"517,5"
1001774,,0, ,0,0,0
8169054,357.0,2,Antofagasta,433,446,0
15661863,8878.0,13,Metropolitana,738,747,0
9313843,,0, ,603,600,0
14319375,8878.0,13,Metropolitana,570,569,0
22330481,8873.0,13,Metropolitana,689,685,0
19323360,14852.0,5,Valparaíso,0,0,0
5385836,10398.0,13,Metropolitana,573,655,318
4522273,9688.0,13,Metropolitana,690,780,0
21045503,1884.0,5,Valparaíso,775,838,0
9712856,,0, ,387,396,457
21283571,,0, ,483,487,0
24517743,14389.0,5,Valparaíso,441,441,0
7374639,10398.0,13,Metropolitana,419,419,347
20849583,22633.0,14,Los Ríos,589,654,"275,5"
23614596,24900.0,13,Metropolitana,552,621,"391,5"
4948743,,0, ,479,529,467
17349303,,0, ,387,391,404
8743011,,0, ,499,532,"558,5"
22580909,,0, ,329,334,"531,5"
7793578,24763.0,13,Metropolitana,510,510,0
5157446,25183.0,13,Metropolitana,391,393,415
22470286,12961.0,2,Antofagasta,513,531,"362,5"
11020275,,0, ,380,384,508
3018723,12650.0,1,Tarapacá,739,834,0
19282994,,0, ,587,612,"467,5"
1701948,8503.0,13,Metropolitana,474,474,"513,5"
11928377,,0, ,609,695,0
18684047,8499.0,13,Metropolitana,624,840,651
1060337,14759.0,5,Valparaíso,541,557,"354,5"
9119190,14609.0,5,Valparaíso,435,436,"340,5"
19219006,10694.0,13,Metropolitana,510,520,326
22947956,40381.0,5,Valparaíso,785,850,"440,5"
19107539,10696.0,13,Metropolitana,541,589,0
21055033,2938.0,7,Maule,348,366,"593,5"
696775,,0, ,534,622,"702,5"
5212694,8811.0,13,Metropolitana,469,471,0
5891056,8878.0,13,Metropolitana,807,836,"732,5"
9243987,,0, ,341,345,393
6771781,8485.0,13,Metropolitana,528,572,0
18852656,,0, ,0,0,"311,5"
3359657,9586.0,13,Metropolitana,679,753,0
1965304,9690.0,13,Metropolitana,647,684,293
5656695,9278.0,13,Metropolitana,792,850,0
10039096,,0, ,407,407,"482,5"
15218813,,0, ,402,402,331
14660499,8485.0,13,Metropolitana,678,767,"659,5"
22788553,2549.0,6,Lib. Gral B. O'Higgins,541,563,"309,5"
16096205,8487.0,13,Metropolitana,415,420,"456,5"
21658645,31376.0,13,Metropolitana,817,850,0
